b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar
200,80,0,3,0,444,32.42,1680,30,30,1919,0,66.66666667,14356,1608,67.59923614,3.685397714,0.333333333,1.533990091,8.068713389,72.66424843,0.810409164,0.375,1,2.2449375
200,100,0,3,0,444,32.42,1680,30,30,1401,0,66.66666667,18236,1728,76.18857581,3.528038313,0.333333333,1.297729312,6.853385364,58.14450633,0.663353086,0.3,1,1.79676
200,100,0,3,0,444,32.42,1680,30,30,1356,0,66.66666667,18236,1728,76.18857581,3.528038313,0.333333333,1.297729312,6.853385364,58.14450633,0.663353086,0.3,1,1.79676
200,200,0,3.75,0,376,46.9,600,0,0,3680,0,53.33333333,37056.25,2887.5,108.6064948,4.152054804,0.333333333,0.624705785,4.79152623,10.38499519,0.129897782,0,0,0
200,200,0,3.75,1,376,46.9,600,0,0,3560,0,53.33333333,37056.25,2887.5,108.6064948,4.152054804,0.333333333,0.624705785,4.79152623,10.38499519,0.129897782,0,0,0
200,200,0,3.75,5,376,46.9,600,0,0,3150,0,53.33333333,37056.25,2887.5,108.6064948,4.152054804,0.333333333,0.624705785,4.79152623,10.38499519,0.129897782,0,0,0
200,200,0,3.75,10,376,46.9,600,0,0,2800,0,53.33333333,37056.25,2887.5,108.6064948,4.152054804,0.333333333,0.624705785,4.79152623,10.38499519,0.129897782,0,0,0
200,200,0,3.75,15,376,46.9,600,0,0,2700,0,53.33333333,37056.25,2887.5,108.6064948,4.152054804,0.333333333,0.624705785,4.79152623,10.38499519,0.129897782,0,0,0
200,200,0,3.75,10,376,46.9,600,0,0,2400,0,53.33333333,37056.25,2887.5,108.6064948,4.152054804,0.333333333,0.624705785,4.79152623,10.38499519,0.129897782,0,0,0
200,200,0,3.75,10,376,46.9,600,0,0,2086,0,53.33333333,37056.25,2887.5,108.6064948,4.152054804,0.333333333,0.624705785,4.79152623,10.38499519,0.129897782,0,0,0
200,200,0,3.75,15,376,46.9,600,0,0,2950,0,53.33333333,37056.25,2887.5,108.6064948,4.152054804,0.333333333,0.624705785,4.79152623,10.38499519,0.129897782,0,0,0
200,200,0,3.75,10,376,46.9,600,0,0,2850,0,53.33333333,37056.25,2887.5,108.6064948,4.152054804,0.333333333,0.624705785,4.79152623,10.38499519,0.129897782,0,0,0
200,200,0,3.75,10,376,46.9,600,0,0,2750,0,53.33333333,37056.25,2887.5,108.6064948,4.152054804,0.333333333,0.624705785,4.79152623,10.38499519,0.129897782,0,0,0
200,200,0,3.75,10,376,46.9,600,0,0,2650,0,53.33333333,37056.25,2887.5,108.6064948,4.152054804,0.333333333,0.624705785,4.79152623,10.38499519,0.129897782,0,0,0
200,200,0,3.75,10,376,46.9,600,0,0,2550,0,53.33333333,37056.25,2887.5,108.6064948,4.152054804,0.333333333,0.624705785,4.79152623,10.38499519,0.129897782,0,0,0
160,80,0,2.5,0,368.52,65.65,620,0,0,1712.89,0,64,11625,1150,60.83052217,2.937877501,0.333333333,0.555304523,5.932693973,26.82055714,0.336506323,0,0,0
160,80,0,2.5,0,368.52,65.65,620,0,0,2303.76,0,64,11625,1150,60.83052217,2.937877501,0.333333333,0.555304523,5.932693973,26.82055714,0.336506323,0,0,0
160,80,0,2.5,0,368.52,65.65,620,0,0,2535.24,0,64,11625,1150,60.83052217,2.937877501,0.333333333,0.555304523,5.932693973,26.82055714,0.336506323,0,0,0
