,b,h,r0,t,R,fy,fc,L,e1,e2,Nexp,r0/h,b/t,Ac,As,Re,te,ke,xi,sigma_re,lambda,lambda_bar,e/h,e1/e2,e_bar
Nexp,0.7603592769642699,0.7735264629270846,0.517828853839828,0.5213031173512934,-0.1069614863644751,0.15964594250550093,0.10627511096445874,0.12000782882142702,-0.141841573519815,-0.10170889249401185,1.0,-0.05434194043669059,0.09243286242072049,0.7981107995411426,0.8717487303945325,0.761099038296695,0.5309723636706457,-0.05503463704004837,-0.032414663863232655,0.027999593967437085,-0.18479514873259348,-0.1433954156968013,-0.2090677370093513,-0.1280390172580667,-0.2122435620742828
r0/h,-0.04375412630978167,-0.07300131233989303,0.6710155825895469,-0.06338490829154463,-0.043227444913062345,-0.14013098319731626,-0.007799081878276316,-0.1795280571002214,-0.11961948557441245,-0.160020622540919,-0.05434194043669059,1.0,0.029069298327267224,-0.0888721045797726,0.02438648286059195,-0.1494554215277931,0.14993291545600035,0.995401894705739,0.13617697117973798,0.3919301252276724,-0.11188408074370705,-0.08371306077533089,-0.15332092250517407,-0.2129877104266366,-0.0585949293127453
b/t,0.46001525198910226,0.38229116533218543,0.2859914037758859,-0.4538918706034221,-0.02646578064747688,-0.14830079428643542,-0.18495034369479,0.09638472041461066,0.22181330368858543,0.24273792916009929,0.09243286242072049,0.029069298327267224,1.0,0.3905174918705376,-0.04645884029996432,0.45610011568521325,-0.4404208949347234,0.016166316386484032,-0.27751949286489236,-0.42153932159188745,-0.0955086563035722,-0.0828480074614773,0.03715060794492772,0.09111507793271535,0.03850031846041448
Ac,0.9096712943342646,0.9110261387800636,0.5634176579027961,0.2682126790595616,-0.08335267350406966,-0.023641598500136512,-0.07582772260794977,0.2547275785871163,0.11521889840336591,0.14054786387863333,0.7981107995411426,-0.0888721045797726,0.3905174918705376,1.0,0.7861156397020986,0.9313165261708413,0.27486709863540926,-0.09338114001742692,-0.11702788016124707,-0.20528295427849888,-0.13440357198570915,-0.11648984981037257,-0.022945965792680597,0.030943313970865343,-0.02830320589080877
As,0.7640872095455421,0.8044512770124584,0.5855885924863278,0.7128842213512339,-0.11621353514183567,0.06869829438942332,0.030107283137772643,0.22728797554630517,0.003911136976630568,0.022048432182802724,0.8717487303945325,0.02438648286059195,-0.04645884029996432,0.7861156397020986,1.0,0.7592603748198162,0.7409010832308217,0.023544362214214284,0.07003170376519685,0.10809118132695844,-0.12209326629001414,-0.09726454345137302,-0.07346050185850807,-0.03585506425233924,-0.06465228136962081
Re,0.9674988122524757,0.9717599768725108,0.5402693563220534,0.290728364297554,-0.10816519962704467,0.006743084778221312,-0.07948738037553432,0.30006839581755007,0.17713034042814588,0.20509766342731792,0.761099038296695,-0.1494554215277931,0.45610011568521325,0.9313165261708413,0.7592603748198162,1.0,0.282311764952136,-0.15370677433134577,-0.14226800153644,-0.2713987350277917,-0.1944014197410447,-0.17059127796743123,-0.002103324235098639,0.08175412952178841,-0.010111791239865968
te,0.3221156363256076,0.3720747958543251,0.35755265404373376,0.9658067617411406,-0.14225133381942962,0.1585569947386838,0.2040058844079966,0.11114668174335926,-0.05539111362800121,-0.05295818858602874,0.5309723636706457,0.14993291545600035,-0.4404208949347234,0.27486709863540926,0.7409010832308217,0.282311764952136,1.0,0.14942028698030085,0.2823713885067631,0.5508346652419657,-0.034729028010833,0.0019939497096038627,-0.07483711565312827,-0.08874818132799181,-0.04720279024422441
ke,-0.062333292612695025,-0.06754267815715916,0.6690773089856207,-0.06010444543356961,-0.042820138651689856,-0.13687459628983484,-0.002970034009456351,-0.18072384642976577,-0.11965443022064033,-0.16083295411489446,-0.05503463704004837,0.995401894705739,0.016166316386484032,-0.09338114001742692,0.023544362214214284,-0.15370677433134577,0.14942028698030085,1.0,0.16457151362834269,0.3979407107811076,-0.13842720083541313,-0.11646637151191948,-0.1563256572080739,-0.21332327164506182,-0.061005841626516975
xi,-0.14388671656134838,-0.09553017825929849,-0.0005084785692197128,0.3133811816639001,0.03869730609482819,0.18036836321787134,-0.21169360132442086,-0.017835015338520933,-0.07396728560229761,-0.06952904031595573,-0.032414663863232655,0.13617697117973798,-0.27751949286489236,-0.11702788016124707,0.07003170376519685,-0.14226800153644,0.2823713885067631,0.16457151362834269,1.0,0.4479125505657098,-0.1957742416764195,-0.32752110016949604,-0.019762758184617507,-0.05768189252354537,-0.01985290794526602
sigma_re,-0.2104247399059333,-0.20017074664107695,0.1284511177343671,0.4764538346213928,-0.10035500316652395,0.5329347447375834,0.29199325995825154,-0.10184040834475142,-0.07985557726836952,-0.08566690874912537,0.027999593967437085,0.3919301252276724,-0.42153932159188745,-0.20528295427849888,0.10809118132695844,-0.2713987350277917,0.5508346652419657,0.3979407107811076,0.4479125505657098,1.0,0.0024648787745970347,0.04819520746379236,-0.04325676290709176,-0.09543764990665773,0.004227417013008896
lambda,-0.15685233264656498,-0.20895826305584858,-0.1520641016973793,-0.04917801633008216,0.0402915005145055,-0.018651724608275598,-0.017932151285316493,0.6596924141667468,0.13727191512146047,0.03757807124389959,-0.18479514873259348,-0.11188408074370705,-0.0955086563035722,-0.13440357198570915,-0.12209326629001414,-0.1944014197410447,-0.034729028010833,-0.13842720083541313,-0.1957742416764195,0.0024648787745970347,1.0,0.9596433806472512,0.30768831149527986,0.08574241861269152,0.30029787442115846
lambda_bar,-0.1298545548071935,-0.17873034221489506,-0.11745752814270637,-0.029979739129239565,0.017507970129880996,0.06112950674420011,0.09214082827192828,0.5764784103683899,0.1212727771631512,0.035557616588583106,-0.1433954156968013,-0.08371306077533089,-0.0828480074614773,-0.11648984981037257,-0.09726454345137302,-0.17059127796743123,0.0019939497096038627,-0.11646637151191948,-0.32752110016949604,0.04819520746379236,0.9596433806472512,1.0,0.25216219914471805,0.06928944701810653,0.2539846384319538
e/h,-0.014871158426076513,-0.022496930522999458,-0.09357696943574217,-0.04662350064278024,-0.030884129108225244,0.04962139278619987,0.015159372149758819,0.3139886001683123,0.8229717101109707,0.6995995385422904,-0.2090677370093513,-0.15332092250517407,0.03715060794492772,-0.022945965792680597,-0.07346050185850807,-0.002103324235098639,-0.07483711565312827,-0.1563256572080739,-0.019762758184617507,-0.04325676290709176,0.30768831149527986,0.25216219914471805,1.0,0.4608277875937991,0.9839443604807686
e1/e2,0.05348057781128606,0.05554866897942491,-0.09914808975678528,-0.04968662566555371,0.007223163159348563,0.05026730287777976,-0.001938229160236648,0.1651762561362968,0.4424951881948876,0.5736771789130797,-0.1280390172580667,-0.2129877104266366,0.09111507793271535,0.030943313970865343,-0.03585506425233924,0.08175412952178841,-0.08874818132799181,-0.21332327164506182,-0.05768189252354537,-0.09543764990665773,0.08574241861269152,0.06928944701810653,0.4608277875937991,1.0,0.43269404059580063
e_bar,-0.014707044695505593,-0.020435469344073358,-0.03095548444643409,-0.038812161697089204,-0.050308746637658205,0.049633457116617444,0.029454559357667713,0.3067218242851356,0.8250815949857461,0.6817440259027272,-0.2122435620742828,-0.0585949293127453,0.03850031846041448,-0.02830320589080877,-0.06465228136962081,-0.010111791239865968,-0.04720279024422441,-0.061005841626516975,-0.01985290794526602,0.004227417013008896,0.30029787442115846,0.2539846384319538,0.9839443604807686,0.43269404059580063,1.0
