csv_row_num,actual,predicted,error,abs_error,rel_error_pct
60,2086,2875.4048,-789.4047852,789.4047852,-37.84299066
46,7168,6406.8457,761.1542969,761.1542969,10.61878204
1508,529.41,1288.7401,-759.3301123,759.3301123,-143.4294993
1189,3265,3997.2227,-732.2226563,732.2226563,-22.42642132
3746,6293,7023.6177,-730.6176758,730.6176758,-11.61000597
1118,1741,1026.3073,714.692749,714.692749,41.05070356
909,10288,9573.368,714.6318359,714.6318359,6.946265901
54,3680,2993.2673,686.732666,686.732666,18.66121375
1954,9686.5,9001.447,685.0527344,685.0527344,7.072242135
2030,6492.5,5807.832,684.6679688,684.6679688,10.54552127
1690,5332,6014.3887,-682.3886719,682.3886719,-12.79798709
1574,7466.5,8132.851,-666.3510742,666.3510742,-8.924543953
3616,3203,2558.6663,644.3337402,644.3337402,20.1165701
1555,1888,1254.3834,633.6165771,633.6165771,33.56020006
1324,780,1409.9371,-629.9371338,629.9371338,-80.761171
1034,4911,5519.9976,-608.9975586,608.9975586,-12.40068334
3791,6030,5425.6978,604.3022461,604.3022461,10.02159612
2822,5047,5646.995,-599.9951172,599.9951172,-11.8881537
733,1703.81,2302.6733,-598.8633398,598.8633398,-35.14848134
1188,6084,6682.447,-598.4467773,598.4467773,-9.836403309
2208,3303,3898.9373,-595.9372559,595.9372559,-18.04230263
2026,6341,5750.908,590.0917969,590.0917969,9.305973772
540,4942.5,4355.336,587.1640625,587.1640625,11.8799001
72,1621.88,2208.4358,-586.555791,586.555791,-36.16517813
2394,1506,921.88873,584.1112671,584.1112671,38.7856087
1180,3901,4481.828,-580.828125,580.828125,-14.8892111
1552,1535,960.3723,574.6276855,574.6276855,37.43502837
1503,5598.6,6166.383,-567.7828125,567.7828125,-10.14151417
1553,1633,1066.5889,566.4111328,566.4111328,34.68531126
1485,3992,3432.1611,559.8388672,559.8388672,14.02401972
1233,1058.2,1616.4075,-558.2074707,558.2074707,-52.75065873
1805,1995,1440.4781,554.5218506,554.5218506,27.79558148
395,2048.4,2601.228,-552.8280273,552.8280273,-26.98828487
2018,2030.5,2582.6177,-552.1176758,552.1176758,-27.19121772
2823,5096,5646.995,-550.9951172,550.9951172,-10.81230607
2339,2989,2441.3218,547.6782227,547.6782227,18.32312555
45,6730,6194.7046,535.2954102,535.2954102,7.953869393
3348,6080,5544.7266,535.2734375,535.2734375,8.803839433
1871,3868,4400.6113,-532.6113281,532.6113281,-13.76968273
2783,7837,8367.953,-530.953125,530.953125,-6.774953745
3613,2989,2460.9539,528.0461426,528.0461426,17.66631457
2770,2019,2545.3184,-526.3183594,526.3183594,-26.06826941
317,13499,12973.065,525.9345703,525.9345703,3.896100232
3295,2150,1625.2167,524.7833252,524.7833252,24.40852675
1476,1946,2466.006,-520.0061035,520.0061035,-26.7217936
2912,2284,2801.3071,-517.3071289,517.3071289,-22.64917377
1272,11431.82,10919.657,512.1627734,512.1627734,4.480150785
2094,1326,814.3453,511.6547241,511.6547241,38.58632912
190,1046,1555.2118,-509.211792,509.211792,-48.68181568
1036,3133,3636.9102,-503.9101563,503.9101563,-16.08395009
1125,3936,4435.7305,-499.7304688,499.7304688,-12.69640419
1148,2731.57,3226.7178,-495.1477734,495.1477734,-18.12685648
1513,1095,602.06757,492.9324341,492.9324341,45.01666065
2098,1720.3,1228.2622,492.037793,492.037793,28.60185973
1223,4642.31,4159.916,482.3939844,482.3939844,10.39124885
1228,1999.2,1520.2152,478.98479,478.98479,23.95882303
1340,2896,2420.9226,475.0773926,475.0773926,16.4046061
3411,1140,669.05707,470.9429321,470.9429321,41.31078352
1571,1336.5,1802.3054,-465.8054199,465.8054199,-34.85263149
1332,820,1264.5527,-444.5527344,444.5527344,-54.21374809
1379,689,1118.184,-429.18396,429.18396,-62.2908505
3261,2970,2542.099,427.9008789,427.9008789,14.407437
1380,1280,852.38745,427.6125488,427.6125488,33.40723038
3412,1085,669.05707,415.9429321,415.9429321,38.33575411
3305,2200,1793.7164,406.2835693,406.2835693,18.46743497
3828,8594,8189.1616,404.8383789,404.8383789,4.710709552
1230,2020,1616.4075,403.5925293,403.5925293,19.97982818
320,13265,13665.201,-400.2011719,400.2011719,-3.016970764
146,2701,2309.4185,391.581543,391.581543,14.49765061
566,887.52,1278.1685,-390.648457,390.648457,-44.01573565
